score,review,time,released
score,review,time,released
10,연기너무잘하고 너무멋있어요,2018.11.29 18:50,True
10,볼만해 그러저럭 스웨덴 스톡홀럼 관광한다고 생각하고 봐봐,2018.11.29 15:19,True
10,d(^^)b d(^^)b d(^^)b,2018.11.29 00:14,True
10,단 1초도 지루하지 않고단 1 씬도 과장되지 않다서늘한 절경과 현실적인 액션공포영화 전공이라는 감독의쫀쫀한 영상미에 클레어 포이의 카리스마까지10손가락이 전부 엄지여야 할 영화 LC는 왜 상연을 안하는거야?좋은 영화들 다 죽이네,2018.12.02 02:26,True
10,조조로 보고왔는데 시작부터 끝까지 긴장하면서 봐서 몸이 아픔 ㅋㅋㅋ 미쟝센 너무 좋아 스토리도 연출도 훌륭하고 배우들이 연기 진짜 잘해... 또 보고싶은데 하루에 1회 밖에 안하다니 아쉽다,2018.12.01 14:30,True
10,액션씬이 진짜 지린다 거기다 주연캐릭터 겁나독보적이어서 가만히 서있어도 재밌음 겁나 멋있음..,2018.12.01 13:32,True
10,"관람객정말 재미있어요! 여러모로 생각도 할 수 있구요, 정말 강렬해요!",2018.11.29 00:28,True
10,관람객주인공 배우의 연기력 만으로도 볼가치 충분함!,2018.11.28 21:54,True
10,핀처의 버전이랑 비교하는건 의미없는거 같고 충분히 클레어포이스럽게 잘풀어나감. 완벽까진 몰라도 간만에 극장에서 재밌게본 스릴러,2018.11.28 19:56,True
2,관람객밀레니엄 시리즈 1편밖에 안 본 사람으로서 캐릭터에 대한 설명이나 동기가 잘 이해가 가지 않네요. 초반 이삼십분은 재밌었는데 그 뒤로는 루즈하네요. 결말도 허무하고요.,2018.11.28 22:28,True
6,"잘 버무리려고 이것저것 짬뽕해서 넣었지만, 비빔밥이 아니라 개밥이 된 느낌의 영화",2018.11.28 15:54,True
6,관람객눈요기 보고 왔는데 눈요기가 안됐다,2018.12.03 16:21,True
10,반전 액션이 끝내주네요. 짱짱이에요 오늘 영화 보길 잘했네요 ㅋㅋㅋ,2018.11.30 12:55,True
8,"기대를 많이 하고 있는 헐리우드의 신예 페데 감독의 바톤을 이어받은 밀레니엄 시리즈. 액션, 연기등 다 괜찮으나 살짝 억지로 끼워 맞춘 시나리오가 좀 감점. 재미는 있음. 소설팬들한테는 좀 무리수가 될듯",2018.11.30 12:46,True
8,헐리웃 양념이 가미된 밀레니엄은 내 입맛은 아님,2018.11.29 12:52,True
10,정말 잼나는 영화예요~홍보가 덜 되었어요.생각없이 봤는데재미있네요~ 액션 스릴러 꿀잼이예요~,2018.12.02 18:15,True
8,모든면에서 부족한감이 있지만뭔지...잼있다...빠져든다...몰입감있다...후드와는 반대로적은 투자금로 재미를 극대화 시킨 영화라고느껴진다,2018.12.02 17:29,True
10,주인공 정말 멋지고 강한 사람이다. 쓸데없이 로맨스나 섹슈얼리티 첨가 안한것도 맘에 들었음 상영관 좀 더 늘려줘라ㅠㅠ,2018.12.02 17:16,True
10,관람객정말 예고편을 보고 꼭 봐야겠다하고 예매하려고하는데 저희 지역에서는 하지않아서 다른지역에서 예매해서 보러갔습니다ㅠㅠ! 보고와서 정말 잘 보고왔다고 생각이 들고 너무너무 재밌게 봤습니다ㅠㅠ!,2018.12.02 16:32,True
8,전작과 비교를 하면.. 별로라고 할수있지만 그냥 한편에 영화로 서는 매우 재미있었습니다.,2018.12.02 14:15,True
10,관람객역시 스웨덴의 명차! 볼보!,2018.12.02 10:33,True
10,을 읽었지만 너무 오래돼서 다 잊었었는데... 책과 다른 내용이었던거 같지만 재밌게 잘 봤네요.,2018.12.02 00:53,True
8,스산한 겨울 분위기의 배경과 주연 여배우의 연기가 좋고 끝까지 긴장감 있는 전개도 만족,2018.12.02 00:03,True
10,진짜 너무 멋있고 깔끔한 액션,2018.12.01 23:34,True
10,두시간 내내 클레어 포이만 봤어요. 최고!,2018.12.01 23:18,True
10,시종일관 숨막히는 전개 전혀 안지루함. 여주 정말 멋지고 보고나서 와 잘봤다 영상 진짜 잘찍었다 감탄했음.,2018.12.01 22:48,True
10,볼거 없어서 액션이길래 봤더니 너무 재밌었어요!!클레어 포이 진짜 너무 이쁘고 액션이나 연출같은거 좋았어요 전 정말 재밌게 봤습니다!,2018.12.01 22:27,True
10,깊은 영상미에서 나오는 긴장감,2018.12.01 22:15,True
7,관람객장르적인 재미만은 확실하다.,2018.12.01 20:41,True
10,적당한 액션과 적은 대사로 인한 긴장감이 무척 좋았어요.스웨덴 영화는 렛미인만 봤는데 북유럽 스타일인지 절제미 있어 제 취향입니다^^,2018.12.01 20:00,True
10,여자 제이슨 본. 유럽특유의 진지하고도 치밀한 구성.,2018.12.01 19:42,True
10,주인공이 너무 멋져요 액션도 시원하고 재밌음,2018.12.01 19:36,True
8,스타일리쉬하고 지능플레이에 감탄하지만 너무 굴곡이적어서 별점은8점이 좋을것같습니다,2018.12.01 19:24,True
9,결말이 약간 아쉽긴 하지만 그 외에는 만족스러웠던 영화. 노래 좋고 인물 좋고 미장센 좋고 액션도 많지는 않았지만 박진감 있어서 좋았다. 자매 이야기가 좀 더 많았으면 싶은 아쉬움이 있다. 주인공 너무 멋있어서 더 보고싶다.,2018.12.01 18:27,True
10,대존잼 저는 진짜 재밌게 봤습니다. 책은 안 읽었는데 이해하는데 그리 어려움이 있진 않았어요! 주인공 클레어 포이 저는 역할에 엄청 잘 어울리고 연기도 잘한다고 생각하면서 봤어요. 영상미 스토리 어디가서 빠지지 않을 영화라고 생각합니다!!,2018.12.01 18:11,True
10,관람객오랫만에 완전 흡족한 영화봤네요. 돈값 제대로 한영화네요.,2018.12.01 15:33,True
